sep=,
id,year,region,no_disasters,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam
1901:0002,1901,Eastern Africa,1,0,0,0,0,0,0
1901:0004,1901,Eastern Asia,1,18,0,0,0,0,0
1902:0002,1902,Central America,2,2185,0,0,0,0,0
1902:0011,1902,Russian Federation,1,4562,0,0,0,0,0
1903:0007,1903,Western Asia,1,6000,0,0,0,0,0
1904:0005,1904,South America,1,0,0,0,0,0,0
1905:0007,1905,Eastern Asia,1,41,0,0,0,0,0
1905:0003,1905,Southern Asia,1,20000,0,0,0,0,0
1905:0001,1905,Southern Europe,1,2500,0,0,0,0,0
1906:0009,1906,Central America,2,1000,0,0,0,0,0
1906:0016,1906,Eastern Africa,1,0,0,0,0,0,6750
1906:0001,1906,Eastern Asia,3,8566,0,0,0,0,0
1906:0013,1906,Northern America,1,2000,0,0,0,0,524000
1906:0002,1906,South America,3,20400,0,0,0,0,100000
1907:0004,1907,Caribbean,1,1200,0,90000,0,90000,30000
1907:0006,1907,Eastern Asia,1,12000,0,0,0,0,0
1907:0007,1907,Russian Federation,1,12000,0,0,0,0,0
1907:0005,1907,South-Eastern Asia,1,400,0,0,0,0,0
1908:0012,1908,Eastern Africa,1,0,0,0,0,0,0
1908:0006,1908,Eastern Europe,1,0,0,0,0,0,0
1908:0007,1908,Southern Europe,1,75000,0,150000,0,150000,116000
1909:0014,1909,Northern Africa,1,100,0,0,0,0,0
1909:0007,1909,Southern Asia,1,5000,0,0,0,0,0
1909:0009,1909,Western Europe,1,46,0,0,0,0,0
1910:0004,1910,Central America,1,1750,0,0,0,0,0
1910:0018,1910,Eastern Africa,1,0,0,0,0,0,0
1910:0005,1910,Northern Africa,1,12,0,0,0,0,0
1912:0004,1912,Eastern Europe,1,0,0,0,0,0,0
1912:0006,1912,Western Asia,1,923,1575,0,0,1575,0
1913:0025,1913,Eastern Africa,2,0,0,0,0,0,0
1913:0008,1913,Eastern Europe,1,0,0,0,0,0,0
1913:0009,1913,South America,1,150,0,0,0,0,0
